Date,Species,GroupSize,TransectID,Year
2017-10-17,Impala,1,Olare Sampu bushlands,2017
2017-11-07,Impala,1,Olare Sampu bushlands,2017
2017-11-07,Impala,3,Olare Sampu bushlands,2017
2017-11-07,Impala,3,Olare Sampu bushlands,2017
2017-11-07,Impala,5,Olare Sampu bushlands,2017
2017-11-07,Impala,3,Olare Sampu bushlands,2017
2017-11-07,Impala,6,Olare Sampu bushlands,2017
2017-11-07,Impala,14,Olare Sampu bushlands,2017
2017-11-07,Impala,1,Olare Sampu bushlands,2017
2017-11-07,Impala,2,Olare Sampu bushlands,2017
2017-11-07,Impala,1,Olare Sampu bushlands,2017
2017-11-07,Impala,1,Olare Sampu bushlands,2017
2017-11-07,Impala,1,Olare Sampu bushlands,2017
2017-11-07,Impala,11,Olare Sampu bushlands,2017
2017-11-07,Impala,5,Olare Sampu bushlands,2017
2017-11-07,Impala,6,Olare Sampu bushlands,2017
2017-11-07,Impala,1,Olare Sampu bushlands,2017
2017-11-07,Impala,2,Olare Sampu bushlands,2017
2017-11-07,Impala,2,Olare Sampu bushlands,2017
2017-12-05,Impala,1,Olare Sampu bushlands,2017
2017-12-05,Impala,2,Olare Sampu bushlands,2017
2017-12-05,Impala,1,Olare Sampu bushlands,2017
2017-12-05,Impala,1,Olare Sampu bushlands,2017
2017-12-05,Impala,6,Olare Sampu bushlands,2017
2017-12-05,Impala,3,Olare Sampu bushlands,2017
2017-12-05,Impala,6,Olare Sampu bushlands,2017
2017-12-05,Impala,1,Olare Sampu bushlands,2017
2017-12-05,Impala,2,Olare Sampu bushlands,2017
2018-01-09,Impala,2,Olare Sampu bushlands,2018
2018-01-09,Impala,2,Olare Sampu bushlands,2018
2018-01-09,Impala,1,Olare Sampu bushlands,2018
2018-01-09,Impala,3,Olare Sampu bushlands,2018
2018-01-09,Impala,5,Olare Sampu bushlands,2018
2018-01-09,Impala,2,Olare Sampu bushlands,2018
2018-01-09,Impala,2,Olare Sampu bushlands,2018
2018-01-09,Impala,13,Olare Sampu bushlands,2018
2018-01-09,Impala,1,Olare Sampu bushlands,2018
2018-01-09,Impala,2,Olare Sampu bushlands,2018
2018-01-09,Impala,2,Olare Sampu bushlands,2018
2018-01-09,Impala,2,Olare Sampu bushlands,2018
2018-01-09,Impala,6,Olare Sampu bushlands,2018
2018-01-16,Impala,23,Olare Sampu bushlands,2018
2018-01-16,Impala,3,Olare Sampu bushlands,2018
2018-01-16,Impala,2,Olare Sampu bushlands,2018
2018-01-16,Impala,2,Olare Sampu bushlands,2018
2018-01-16,Impala,2,Olare Sampu bushlands,2018
2018-01-16,Impala,13,Olare Sampu bushlands,2018
2018-01-16,Impala,1,Olare Sampu bushlands,2018
2018-01-16,Impala,1,Olare Sampu bushlands,2018
2018-02-13,Impala,5,Olare Sampu bushlands,2018
2018-02-13,Impala,3,Olare Sampu bushlands,2018
2018-02-13,Impala,1,Olare Sampu bushlands,2018
2018-02-13,Impala,32,Olare Sampu bushlands,2018
2018-03-06,Impala,4,Olare Sampu bushlands,2018
2018-03-06,Impala,1,Olare Sampu bushlands,2018
2018-03-06,Impala,3,Olare Sampu bushlands,2018
2018-03-06,Impala,2,Olare Sampu bushlands,2018
2018-03-06,Impala,1,Olare Sampu bushlands,2018
2018-03-06,Impala,1,Olare Sampu bushlands,2018
2018-03-06,Impala,12,Olare Sampu bushlands,2018
2018-03-06,Impala,1,Olare Sampu bushlands,2018
2018-03-06,Impala,9,Olare Sampu bushlands,2018
2018-03-06,Impala,1,Olare Sampu bushlands,2018
2018-03-06,Impala,2,Olare Sampu bushlands,2018
2018-03-06,Impala,1,Olare Sampu bushlands,2018
2018-04-03,Impala,25,Olare Sampu bushlands,2018
2018-04-03,Impala,10,Olare Sampu bushlands,2018
2018-04-03,Impala,1,Olare Sampu bushlands,2018
2018-04-03,Impala,10,Olare Sampu bushlands,2018
2018-04-03,Impala,1,Olare Sampu bushlands,2018
2018-04-03,Impala,1,Olare Sampu bushlands,2018
2018-05-08,Impala,1,Olare Sampu bushlands,2018
2018-05-08,Impala,26,Olare Sampu bushlands,2018
2018-05-08,Impala,1,Olare Sampu bushlands,2018
2018-05-08,Impala,25,Olare Sampu bushlands,2018
2018-06-05,Impala,3,Olare Sampu bushlands,2018
2018-07-01,Impala,1,Olare Sampu bushlands,2018
2018-07-01,Impala,31,Olare Sampu bushlands,2018
2018-07-01,Impala,14,Olare Sampu bushlands,2018
2018-07-01,Impala,5,Olare Sampu bushlands,2018
2018-07-01,Impala,5,Olare Sampu bushlands,2018
2018-07-01,Impala,9,Olare Sampu bushlands,2018
2018-07-01,Impala,3,Olare Sampu bushlands,2018
2018-07-01,Impala,4,Olare Sampu bushlands,2018
2018-07-01,Impala,37,Olare Sampu bushlands,2018
2018-07-01,Impala,10,Olare Sampu bushlands,2018
2018-07-01,Impala,3,Olare Sampu bushlands,2018
2018-08-02,Impala,1,Olare Sampu bushlands,2018
2018-08-02,Impala,2,Olare Sampu bushlands,2018
2018-08-02,Impala,4,Olare Sampu bushlands,2018
2018-09-04,Impala,1,Olare Sampu bushlands,2018
2018-09-04,Impala,35,Olare Sampu bushlands,2018
2018-09-04,Impala,1,Olare Sampu bushlands,2018
2018-09-04,Impala,3,Olare Sampu bushlands,2018
2018-10-02,Impala,2,Olare Sampu bushlands,2018
2018-10-02,Impala,2,Olare Sampu bushlands,2018
2018-10-02,Impala,1,Olare Sampu bushlands,2018
2018-10-02,Impala,21,Olare Sampu bushlands,2018
2018-11-06,Impala,5,Olare Sampu bushlands,2018
2018-12-04,Impala,1,Olare Sampu bushlands,2018
2018-12-04,Impala,2,Olare Sampu bushlands,2018
2018-12-04,Impala,7,Olare Sampu bushlands,2018
2018-12-04,Impala,65,Olare Sampu bushlands,2018
2018-12-04,Impala,4,Olare Sampu bushlands,2018
2017-10-17,Impala,1,Sampu Enkare bushlands,2017
2017-10-17,Impala,1,Sampu Enkare bushlands,2017
2017-10-17,Impala,1,Sampu Enkare bushlands,2017
2017-10-17,Impala,4,Sampu Enkare bushlands,2017
2017-10-17,Impala,13,Sampu Enkare bushlands,2017
2017-10-17,Impala,3,Sampu Enkare bushlands,2017
2017-10-17,Impala,17,Sampu Enkare bushlands,2017
2017-10-17,Impala,2,Sampu Enkare bushlands,2017
2017-10-17,Impala,1,Sampu Enkare bushlands,2017
2017-10-17,Impala,1,Sampu Enkare bushlands,2017
2017-10-17,Impala,3,Sampu Enkare bushlands,2017
2017-10-17,Impala,3,Sampu Enkare bushlands,2017
2017-10-17,Impala,1,Sampu Enkare bushlands,2017
2017-11-07,Impala,2,Sampu Enkare bushlands,2017
2017-11-07,Impala,5,Sampu Enkare bushlands,2017
2017-11-07,Impala,1,Sampu Enkare bushlands,2017
2017-11-07,Impala,2,Sampu Enkare bushlands,2017
2017-11-07,Impala,2,Sampu Enkare bushlands,2017
2017-11-07,Impala,1,Sampu Enkare bushlands,2017
2017-12-05,Impala,1,Sampu Enkare bushlands,2017
2017-12-05,Impala,1,Sampu Enkare bushlands,2017
2018-01-16,Impala,1,Sampu Enkare bushlands,2018
2018-01-16,Impala,1,Sampu Enkare bushlands,2018
2018-01-16,Impala,1,Sampu Enkare bushlands,2018
